Document Number,Amount in local currency,Supplier,Document Type
Clearing Document 200001157,-650.0,,
110000060,-296.0,E001168,AB
Clearing Document 200001187,-296.0,,
110000042,-400.0,E001452,AB
Clearing Document 200001193,-400.0,,
110000066,-600.0,E001378,AB
Clearing Document 200001197,-600.0,,
110000061,-600.0,E001551,AB
Clearing Document 200001198,-600.0,,
110000062,-480.0,E001310,AB
Clearing Document 200001199,-480.0,,
110000063,-600.0,E001550,AB
Clearing Document 200001200,-600.0,,
110000070,-550.0,E000731,AB
Clearing Document 200001284,-550.0,,
110000082,-400.0,E000995,AB
Clearing Document 200001395,-400.0,,
110000072,-152.5,E000167,AB
Clearing Document 200001424,-152.5,,
110000073,-150.0,E001036,AB
Clearing Document 200001427,-150.0,,
110000089,-500.0,E000690,AB
Clearing Document 200001511,-500.0,,
110000090,-500.0,E001052,AB
Clearing Document 200001512,-500.0,,
110000105,-38.25,E000812,AB
110000106,-280.0,E000812,AB
Clearing Document 200001551,-318.25,,
110000108,-69.06,E001025,AB
Clearing Document 200001552,-69.06,,
110000099,-22.5,E001507,AB
Clearing Document 200001553,-22.5,,
110000110,-296.74,E001399,AB
Clearing Document 200001559,-296.74,,
110000109,-276.0,E001548,AB
Clearing Document 200001560,-276.0,,
110000100,-500.0,E001377,AB
Clearing Document 200001566,-500.0,,
110000101,-400.0,E001532,AB
Clearing Document 200001567,-400.0,,
110000098,-605.33,E000280,AB
Clearing Document 200001568,-605.33,,
110000096,-40.0,E001052,AB
110000097,-186.0,E001052,AB
Clearing Document 200001573,-226.0,,
110000094,-644.92,E001072,AB
Clearing Document 200001574,-644.92,,
110000091,-392.16,E001110,AB
Clearing Document 200001575,-392.16,,
110000095,-572.55,E001409,AB
Clearing Document 200001576,-572.55,,
110000104,-20.0,E001039,AB
Clearing Document 200001587,-20.0,,
110000103,-20.0,E001501,AB
Clearing Document 200001588,-20.0,,
110000076,-184.78,E001283,AB
Clearing Document 200001598,-184.78,,
110000075,-84.78,E001506,AB
Clearing Document 200001600,-84.78,,
110000121,-300.0,E001177,AB
Clearing Document 200001667,-300.0,,
110000119,-315.4,E001492,AB
Clearing Document 200001668,-315.4,,
110000120,-300.0,E001555,AB
Clearing Document 200001670,-300.0,,
110000114,-59.5,E000638,AB
110000115,-89.25,E000638,AB
Clearing Document 200001693,-148.75,,
110000113,-97.88,E001262,AB
Clearing Document 200001695,-97.88,,
110000111,-54.0,E001427,AB
Clearing Document 200001697,-54.0,,
110000128,-130.31,E001357,AB
Clearing Document 200001787,-130.31,,
110000143,-64.74,E000447,AB
Clearing Document 200001805,-64.74,,
110000138,-59.5,E000811,AB
Clearing Document 200001806,-59.5,,
110000139,-40.8,E001547,AB
Clearing Document 200001807,-40.8,,
110000140,-313.2,E001547,AB
Clearing Document 200001808,-313.2,,
110000141,-70.4,E001075,AB
Clearing Document 200001836,-70.4,,
110000148,-305.2,E001162,AB
Clearing Document 200001850,-305.2,,
110000147,-240.7,E001156,AB
Clearing Document 200001851,-240.7,,
110000146,-286.65,E001518,AB
Clearing Document 200001852,-286.65,,
110000149,-116.0,E001117,AB
Clearing Document 200001854,-116.0,,
110000133,-279.41,E001405,AB
Clearing Document 200001855,-279.41,,
110000129,-493.02,E001395,AB
Clearing Document 200001895,-493.02,,
110000092,-253.2,E001532,AB
110000093,-186.0,E001532,AB
Clearing Document 200001897,-439.2,,
110000145,-997.7,E000651,AB
Clearing Document 200001898,-997.7,,
110000142,-991.5,E000916,AB
Clearing Document 200001899,-991.5,,
110000136,-363.67,E001353,AB
Clearing Document 200001900,-363.67,,
110000144,-1013.93,E001364,AB
Clearing Document 200001901,-1013.93,,
110000137,-165.5,E001424,AB
Clearing Document 200001902,-165.5,,
110000152,-206.5,E001122,AB
Clearing Document 200001912,-206.5,,
110000151,-347.85,E001277,AB
Clearing Document 200001913,-347.85,,
110000153,-168.2,E001441,AB
Clearing Document 200001915,-168.2,,
110000160,-291.0,E001295,AB
Clearing Document 200001948,-291.0,,
110000159,-274.0,E001540,AB
Clearing Document 200001949,-274.0,,
110000162,-110.0,E000225,AB
Clearing Document 200002054,-110.0,,
110000167,-297.9,E001104,AB
Clearing Document 200002056,-297.9,,
110000184,-142.5,E000186,AB
Clearing Document 200002100,-142.5,,
110000183,-210.5,E000308,AB
Clearing Document 200002101,-210.5,,
110000186,-451.2,E001392,AB
Clearing Document 200002102,-451.2,,
110000185,-82.5,E001516,AB
Clearing Document 200002103,-82.5,,
110000178,-120.5,E001416,AB
Clearing Document 200002105,-120.5,,
110000179,-148.5,E001549,AB
Clearing Document 200002106,-148.5,,
110000177,-373.46,E001120,AB
Clearing Document 200002107,-373.46,,
110000181,-688.5,E001180,AB
Clearing Document 200002108,-688.5,,
110000180,-690.73,E001036,AB
Clearing Document 200002116,-690.73,,
110000171,-204.0,E001303,AB
Clearing Document 200002117,-204.0,,
110000168,-464.0,E001049,AB
Clearing Document 200002118,-464.0,,
110000193,-499.5,E001537,AB
Clearing Document 200002253,-499.5,,
110000196,-1300.0,E001405,AB
Clearing Document 200002254,-1300.0,,
110000215,-475.5,E000275,AB
Clearing Document 200002576,-475.5,,
110000213,-20.0,E001039,AB
Clearing Document 200002577,-20.0,,
110000212,-20.0,E001501,AB
Clearing Document 200002578,-20.0,,
110000239,-290.0,E001343,AB
Clearing Document 200002630,-290.0,,
110000238,-290.0,E001373,AB
Clearing Document 200002631,-290.0,,
110000240,-290.0,E000491,AB
Clearing Document 200002635,-290.0,,
110000245,-226.91,E000412,AB
Clearing Document 200002647,-226.91,,
110000243,-571.0,E000923,AB
Clearing Document 200002648,-571.0,,
110000244,-966.65,E001129,AB
Clearing Document 200002649,-966.65,,
110000248,-499.5,E000780,AB
Clearing Document 200002724,-499.5,,
110000250,-315.9,E000813,AB
110000251,-283.57,E000813,AB
Clearing Document 200002725,-599.47,,
110000249,-339.0,E000886,AB
Clearing Document 200002726,-339.0,,
110000278,-20.0,E001168,AB
110000279,-20.0,E001168,AB
110000280,-20.0,E001168,AB
110000281,-20.0,E001168,AB
110000282,-20.0,E001168,AB
