Document Number,Amount in local currency,Supplier,Document Type
110009075,-345.0,E000418,AB
Clearing Document 200037672,-345.0,,
110009076,-361.0,E000954,AB
Clearing Document 200037673,-361.0,,
110009079,-221.24,E001270,AB
Clearing Document 200037674,-221.24,,
110009081,-88.0,E001012,AB
Clearing Document 200037675,-88.0,,
110009092,-73.0,E000157,AB
Clearing Document 200037679,-73.0,,
110009083,-214.91,E000257,AB
110009085,-88.96,E000257,AB
Clearing Document 200037680,-303.87,,
110009100,-28.0,E000982,AB
Clearing Document 200037681,-28.0,,
110009098,-29.0,E001343,AB
Clearing Document 200037682,-29.0,,
110009093,-300.0,E001373,AB
110009096,-289.0,E001373,AB
Clearing Document 200037683,-589.0,,
110009099,-28.0,E001502,AB
Clearing Document 200037717,-28.0,,
110009157,-306.43,E001181,AB
Clearing Document 200037728,-306.43,,
110008862,160.0,E000551,AB
110008864,-188.25,E000551,AB
Clearing Document 200037732,-28.25,,
110009147,-82.0,E001304,AB
Clearing Document 200037739,-82.0,,
110009156,-1688.52,E000432,AB
Clearing Document 200037744,-1688.52,,
110009148,-499.4,E001129,AB
Clearing Document 200037746,-499.4,,
110009170,-89.7,E000913,AB
110009172,-69.7,E000913,AB
Clearing Document 200037798,-159.4,,
110009173,-21.0,E001156,AB
Clearing Document 200037799,-21.0,,
110009167,-20.0,E001247,AB
Clearing Document 200037800,-20.0,,
110009165,-110.5,E001426,AB
110009166,-110.5,E001426,AB
Clearing Document 200037801,-221.0,,
110009163,-73.1,E001518,AB
110009164,-73.1,E001518,AB
Clearing Document 200037802,-146.2,,
110009055,-138.82,E000264,AB
Clearing Document 200037831,-138.82,,
110009053,-179.0,E000286,AB
Clearing Document 200037832,-179.0,,
110008960,-354.0,E000563,AB
110009041,-783.25,E000563,AB
110009042,-307.49,E000563,AB
110009125,-1243.25,E000563,AB
Clearing Document 200037833,-2687.99,,
110009061,-330.0,E000648,AB
Clearing Document 200037834,-330.0,,
110009062,-167.0,E000649,AB
Clearing Document 200037835,-167.0,,
110009049,-144.82,E000690,AB
Clearing Document 200037836,-144.82,,
110009054,-143.2,E001051,AB
Clearing Document 200037837,-143.2,,
110009033,-224.95,E001081,AB
110009034,-64.34,E001081,AB
110009046,-157.0,E001081,AB
110009047,-157.0,E001081,AB
Clearing Document 200037838,-603.29,,
110009051,-158.54,E001286,AB
Clearing Document 200037839,-158.54,,
110009059,-1423.0,E001376,AB
110009060,-972.09,E001376,AB
Clearing Document 200037840,-2395.09,,
110009050,-304.5,E001381,AB
Clearing Document 200037841,-304.5,,
110009052,-324.0,E001482,AB
Clearing Document 200037842,-324.0,,
110009192,-300.0,E000430,AB
Clearing Document 200037843,-300.0,,
110009191,-500.0,E000690,AB
Clearing Document 200037844,-500.0,,
110009190,-550.0,E000916,AB
Clearing Document 200037845,-550.0,,
110009189,-200.0,E001417,AB
Clearing Document 200037846,-200.0,,
110009144,-209.1,E000942,AB
Clearing Document 200037861,-209.1,,
110009145,-374.0,E001351,AB
Clearing Document 200037862,-374.0,,
110009146,-374.0,E000232,AB
Clearing Document 200037863,-374.0,,
110009123,-48.6,E000743,AB
Clearing Document 200037864,-48.6,,
110009122,-563.44,E000793,AB
Clearing Document 200037865,-563.44,,
110009183,-40.0,E000368,AB
Clearing Document 200037866,-40.0,,
110009179,-195.0,E001063,AB
Clearing Document 200037878,-195.0,,
110009180,-195.0,E001269,AB
Clearing Document 200037880,-195.0,,
110008943,-234.0,E000334,AB
Clearing Document 200037892,-234.0,,
110008964,-135.0,E000437,AB
Clearing Document 200037893,-135.0,,
110008813,-187.5,E000472,AB
Clearing Document 200037894,-187.5,,
110008768,-389.18,E000783,AB
Clearing Document 200037895,-389.18,,
110008935,-24.85,E000984,AB
110008936,-23.85,E000984,AB
110008937,-5.0,E000984,AB
110008938,-51.96,E000984,AB
Clearing Document 200037896,-105.66,,
110008934,-68.9,E001239,AB
Clearing Document 200037897,-68.9,,
110008944,-575.7,E001561,AB
Clearing Document 200037898,-575.7,,
110009188,-199.0,E000273,AB
Clearing Document 200037899,-199.0,,
110009184,-1179.5,E000512,AB
110009185,-209.1,E000512,AB
110009186,-209.1,E000512,AB
Clearing Document 200037900,-1597.7,,
110009194,-199.0,E000851,AB
Clearing Document 200037902,-199.0,,
110009187,-243.0,E001507,AB
Clearing Document 200037903,-243.0,,
110009193,-647.36,E1510,AB
Clearing Document 200037904,-647.36,,
110009150,-125.4,E001165,AB
Clearing Document 200038026,-125.4,,
110009151,-475.6,E001360,AB
Clearing Document 200038027,-475.6,,
110009206,-1380.0,E000555,AB
Clearing Document 200038032,-1380.0,,
110009207,-180.0,E000642,AB
Clearing Document 200038033,-180.0,,
110009235,-400.0,E001120,AB
Clearing Document 200038199,-400.0,,
110009222,-572.0,E001123,AB
Clearing Document 200038214,-572.0,,
110009223,-1407.04,E001228,AB
110009224,-602.65,E001228,AB
110009225,-491.74,E001228,AB
Clearing Document 200038216,-2501.43,,
110009226,-330.0,E001463,AB
110009227,-656.9,E001463,AB
Clearing Document 200038219,-986.9,,
110009229,-199.0,E000529,AB
Clearing Document 200038301,-199.0,,
110009230,-199.0,E000678,AB
Clearing Document 200038303,-199.0,,
110009228,-142.0,E000737,AB
Clearing Document 200038304,-142.0,,
110009231,-175.0,E001305,AB
110009232,-216.0,E001305,AB
Clearing Document 200038305,-391.0,,
110009256,-29.0,E001232,AB
Clearing Document 200038344,-29.0,,
110009258,-29.0,E001335,AB
Clearing Document 200038345,-29.0,,
110009260,-29.0,E001346,AB
Clearing Document 200038346,-29.0,,
110009261,-0.84,E000338,AB
Clearing Document 200038347,-0.84,,
110009266,-224.0,E000778,AB
Clearing Document 200038348,-224.0,,
110009262,-9.0,E001528,AB
Clearing Document 200038349,-9.0,,
110009265,-330.0,E000439,AB
Clearing Document 200038350,-330.0,,
110009264,-513.0,E001498,AB
Clearing Document 200038351,-513.0,,
110009155,-225.1,E001193,AB
Clearing Document 200038380,-225.1,,
110009270,-408.0,E000451,AB
Clearing Document 200038386,-408.0,,
110009273,-320.06,E000558,AB
110009291,-395.36,E000558,AB
110009292,-45.0,E000558,AB
Clearing Document 200038387,-760.42,,
110009245,-359.0,E000679,AB
Clearing Document 200038388,-359.0,,
110009246,-364.3,E000731,AB
Clearing Document 200038389,-364.3,,
110009247,-349.0,E000958,AB
110009272,-137.5,E000958,AB
Clearing Document 200038390,-486.5,,
110009271,-55.95,E001046,AB
Clearing Document 200038391,-55.95,,
110009269,-368.5,E001318,AB
Clearing Document 200038392,-368.5,,
110009221,-800.0,E000810,AB
Clearing Document 200038396,-800.0,,
110009220,-117.4,E001195,AB
Clearing Document 200038397,-117.4,,
110009130,-472.0,E000253,AB
110009131,-226.8,E000253,AB
Clearing Document 200038416,-698.8,,
110009132,-738.4,E000297,AB
Clearing Document 200038417,-738.4,,
110009133,-93.0,E000468,AB
110009134,-61.0,E000468,AB
110009135,-18.0,E000468,AB
110009136,-10.0,E000468,AB
Clearing Document 200038418,-182.0,,
110009084,-637.72,E000620,AB
110009086,-151.84,E000620,AB
Clearing Document 200038419,-789.56,,
110009101,-54.4,E000651,AB
110009102,-48.0,E000651,AB
110009103,-48.0,E000651,AB
110009104,-443.9,E000651,AB
110009105,-57.0,E000651,AB
110009106,-398.6,E000651,AB
Clearing Document 200038420,-1049.9,,
110009088,-102.83,E000659,AB
110009089,-116.79,E000659,AB
110009090,-158.13,E000659,AB
Clearing Document 200038421,-377.75,,
110009142,-1294.98,E001150,AB
Clearing Document 200038422,-1294.98,,
110009137,-73.39,E001271,AB
110009138,-63.1,E001271,AB
Clearing Document 200038423,-136.49,,
110009128,-97.5,E001277,AB
Clearing Document 200038424,-97.5,,
110009127,-908.86,E001278,AB
Clearing Document 200038425,-908.86,,
110009294,-1800.0,E001076,AB
Clearing Document 200038426,-1800.0,,
110009310,-150.0,E000334,AB
Clearing Document 200038427,-150.0,,
110009126,-1029.4,E001395,AB
Clearing Document 200038428,-1029.4,,
110009143,-677.18,E001424,AB
Clearing Document 200038429,-677.18,,
110009139,-79.31,E001461,AB
Clearing Document 200038430,-79.31,,
110009316,-150.0,E000633,AB
Clearing Document 200038431,-150.0,,
110009094,-28.9,E001473,AB
110009095,-28.9,E001473,AB
Clearing Document 200038432,-57.8,,
110009315,-121.0,E000767,AB
Clearing Document 200038433,-121.0,,
110009309,-150.0,E000777,AB
Clearing Document 200038435,-150.0,,
110009312,-150.0,E000815,AB
Clearing Document 200038439,-150.0,,
110009307,-235.0,E000971,AB
Clearing Document 200038442,-235.0,,
110009311,-235.0,E001142,AB
Clearing Document 200038444,-235.0,,
110009308,-216.0,E001512,AB
Clearing Document 200038446,-216.0,,
110009336,-62.7,E000489,AB
Clearing Document 200038488,-62.7,,
110009337,-62.7,E000489,AB
Clearing Document 200038489,-62.7,,
110009332,-14.45,E000993,AB
Clearing Document 200038490,-14.45,,
110009330,-40.8,E001547,AB
Clearing Document 200038491,-40.8,,
110009348,-252.4,E001547,AB
Clearing Document 200038492,-252.4,,
110009355,-475.5,E000503,AB
Clearing Document 200038568,-475.5,,
110009343,-181.0,E000845,AB
110009344,-731.8,E000845,AB
110009345,-469.08,E000845,AB
110009346,-80.0,E000845,AB
Clearing Document 200038569,-1461.88,,
110009341,-464.5,E001157,AB
110009342,-679.25,E001157,AB
Clearing Document 200038570,-1143.75,,
110009354,-513.9,E001492,AB
Clearing Document 200038572,-513.9,,
110009339,-296.83,E001555,AB
110009340,-118.55,E001555,AB
Clearing Document 200038573,-415.38,,
110009366,-164.6,E000410,AB
Clearing Document 200038576,-164.6,,
110009352,-64.74,E000447,AB
Clearing Document 200038577,-64.74,,
110009353,-40.41,E000936,AB
Clearing Document 200038578,-40.41,,
110009361,-957.27,E000936,AB
Clearing Document 200038579,-957.27,,
110009369,-200.0,E000936,AB
Clearing Document 200038581,-200.0,,
110009370,-216.0,E001348,AB
Clearing Document 200038582,-216.0,,
110009313,-235.0,E001365,AB
Clearing Document 200038584,-235.0,,
110009293,-430.0,E001461,AB
Clearing Document 200038585,-430.0,,
110009368,-40.0,E000978,AB
Clearing Document 200038615,-40.0,,
110009371,-139.0,E001443,AB
Clearing Document 200038616,-139.0,,
110009367,-85.5,E001534,AB
Clearing Document 200038617,-85.5,,
110009359,211.0,E001411,AB
110009360,-572.0,E001411,AB
Clearing Document 200038618,-361.0,,
110009439,-175.0,E000771,AB
110009440,-216.0,E000771,AB
Clearing Document 200038644,-391.0,,
110009443,-183.0,E000931,AB
110009444,-378.0,E000931,AB
Clearing Document 200038645,-561.0,,
110009441,-175.0,E001300,AB
110009442,-216.0,E001300,AB
Clearing Document 200038646,-391.0,,
110009454,-175.0,E000956,AB
110009455,-261.0,E000956,AB
Clearing Document 200038647,-436.0,,
110009447,-175.0,E001227,AB
110009448,-216.0,E001227,AB
Clearing Document 200038648,-391.0,,
110009450,-175.0,E001229,AB
110009451,-216.0,E001229,AB
Clearing Document 200038649,-391.0,,
110009452,-199.0,E001249,AB
110009453,-224.0,E001249,AB
Clearing Document 200038650,-423.0,,
110009456,-183.05,E000407,AB
Clearing Document 200038666,-183.05,,
110009449,-64.74,E000447,AB
Clearing Document 200038667,-64.74,,
110009413,-915.57,E000760,AB
Clearing Document 200038668,-915.57,,
110009417,-410.0,E001238,AB
Clearing Document 200038669,-410.0,,
110009429,-295.5,E001238,AB
Clearing Document 200038670,-295.5,,
110009416,-50.0,E001297,AB
Clearing Document 200038671,-50.0,,
110009430,-278.0,E001302,AB
Clearing Document 200038672,-278.0,,
110009414,-882.15,E001348,AB
Clearing Document 200038673,-882.15,,
110009433,-326.8,E001547,AB
Clearing Document 200038674,-326.8,,
110009356,-60.6,E001393,AB
110009357,-321.36,E001393,AB
Clearing Document 200038679,-381.96,,
110009358,-104.0,E001433,AB
Clearing Document 200038680,-104.0,,
110009422,-232.5,E000144,AB
110009428,-48.0,E000144,AB
Clearing Document 200038688,-280.5,,
110009434,-500.0,E000623,AB
Clearing Document 200038689,-500.0,,
110009431,-59.5,E001344,AB
110009432,-27.2,E001344,AB
Clearing Document 200038690,-86.7,,
110009435,-640.0,E001411,AB
Clearing Document 200038691,-640.0,,
110009406,-139.0,E000537,AB
Clearing Document 200038692,-139.0,,
110009408,-159.0,E000769,AB
Clearing Document 200038693,-159.0,,
110009407,-219.0,E000898,AB
Clearing Document 200038694,-219.0,,
110009415,-297.5,E001403,AB
110009418,-301.82,E001403,AB
Clearing Document 200038695,-599.32,,
110009401,-700.0,E001048,AB
Clearing Document 200038715,-700.0,,
110009372,-216.0,E001415,AB
Clearing Document 200038772,-216.0,,
110009466,-45.12,E000811,AB
Clearing Document 200038801,-45.12,,
110009469,-417.19,E000811,AB
Clearing Document 200038802,-417.19,,
110009472,-173.56,E000811,AB
Clearing Document 200038803,-173.56,,
110009419,-24.0,E000589,AB
Clearing Document 200038808,-24.0,,
110009423,-80.2,E000867,AB
Clearing Document 200038809,-80.2,,
110009424,-108.4,E000867,AB
Clearing Document 200038810,-108.4,,
110009426,-108.4,E000867,AB
Clearing Document 200038811,-108.4,,
110009427,-88.4,E000867,AB
Clearing Document 200038812,-88.4,,
110009437,-35.3,E000924,AB
110009438,-15.3,E000924,AB
110009446,-20.0,E000924,AB
Clearing Document 200038814,-70.6,,
110009349,-20.0,E000995,AB
110009350,-127.1,E000995,AB
110009351,-107.1,E000995,AB
Clearing Document 200038816,-254.2,,
110009420,-33.6,E001247,AB
110009421,-17.6,E001247,AB
Clearing Document 200038817,-51.2,,
110009445,-500.0,E001247,AB
Clearing Document 200038818,-500.0,,
110009436,-11.9,E001323,AB
110009482,-11.9,E001323,AB
Clearing Document 200038819,-23.8,,
110009479,-544.26,E000645,AB
110009480,-374.0,E000645,AB
110009481,-243.0,E000645,AB
Clearing Document 200038831,-1161.26,,
110009487,-92.65,E000716,AB
110009488,-702.23,E000716,AB
Clearing Document 200038832,-794.88,,
110009485,-175.0,E000722,AB
110009486,-232.0,E000722,AB
Clearing Document 200038833,-407.0,,
110009483,-175.0,E001440,AB
110009484,-216.0,E001440,AB
Clearing Document 200038834,-391.0,,
110009476,-266.0,E000321,AB
110009477,-123.0,E000321,AB
Clearing Document 200038835,-389.0,,
110009478,-800.0,E001404,AB
Clearing Document 200038836,-800.0,,
110009470,-200.0,E000231,AB
Clearing Document 200038845,-200.0,,
110009468,-200.0,E001441,AB
Clearing Document 200038846,-200.0,,
110009324,-256.3,E000156,AB
Clearing Document 200038859,-256.3,,
110009381,-94.5,E000261,AB
Clearing Document 200038860,-94.5,,
110009327,-816.0,E000297,AB
Clearing Document 200038861,-816.0,,
110009378,-923.08,E000358,AB
110009379,-501.12,E000358,AB
110009380,-192.55,E000358,AB
Clearing Document 200038862,-1616.75,,
110009295,-33.0,E000719,AB
110009296,-22.0,E000719,AB
110009297,-143.0,E000719,AB
Clearing Document 200038863,-198.0,,
110009329,-89.52,E001142,AB
Clearing Document 200038864,-89.52,,
110009373,-321.82,E001284,AB
110009374,-427.98,E001284,AB
110009375,-331.15,E001284,AB
110009376,-39.88,E001284,AB
110009377,-331.96,E001284,AB
Clearing Document 200038865,-1452.79,,
110009306,-24.2,E001422,AB
Clearing Document 200038866,-24.2,,
110009398,-260.02,E000264,AB
Clearing Document 200038868,-260.02,,
110009389,-20.0,E000283,AB
Clearing Document 200038871,-20.0,,
110009388,-276.8,E000481,AB
Clearing Document 200038872,-276.8,,
110009396,-928.02,E000790,AB
Clearing Document 200038873,-928.02,,
110009391,-204.5,E000916,AB
110009392,-122.5,E000916,AB
Clearing Document 200038874,-327.0,,
110009385,-1556.9,E000996,AB
Clearing Document 200038875,-1556.9,,
110009386,-263.72,E001083,AB
Clearing Document 200038876,-263.72,,
110009395,-503.82,E001277,AB
Clearing Document 200038877,-503.82,,
110009387,-311.55,E001356,AB
Clearing Document 200038878,-311.55,,
110009390,-239.0,E001389,AB
Clearing Document 200038879,-239.0,,
110009393,-35.32,E001441,AB
110009394,-62.7,E001441,AB
Clearing Document 200038880,-98.02,,
110009397,-343.52,E001525,AB
Clearing Document 200038881,-343.52,,
110009382,-36.53,E001561,AB
110009383,-393.49,E001561,AB
110009384,-73.63,E001561,AB
Clearing Document 200038882,-503.65,,
110009411,-400.0,E000711,AB
Clearing Document 200038895,-400.0,,
110009532,-586.76,E000226,AB
Clearing Document 200038902,-586.76,,
110009533,-160.6,E000033,AB
Clearing Document 200038904,-160.6,,
110009549,-20.0,E000596,AB
110009550,-20.0,E000596,AB
110009551,-252.4,E000596,AB
Clearing Document 200038905,-292.4,,
110009537,-20.0,E000780,AB
110009538,-272.0,E000780,AB
Clearing Document 200038906,-292.0,,
110009552,-1415.43,E000858,AB
Clearing Document 200038907,-1415.43,,
110009531,-327.0,E000932,AB
Clearing Document 200038908,-327.0,,
110009534,-252.95,E001147,AB
110009535,-274.2,E001147,AB
Clearing Document 200038909,-527.15,,
110009555,-20.0,E001168,AB
110009556,-537.5,E001168,AB
110009557,-20.0,E001168,AB
110009558,-142.0,E001168,AB
Clearing Document 200038910,-719.5,,
110009539,-20.0,E001245,AB
110009540,-20.0,E001245,AB
110009541,-20.0,E001245,AB
110009542,-20.0,E001245,AB
110009543,-152.0,E001245,AB
Clearing Document 200038911,-232.0,,
110009536,-572.0,E001304,AB
Clearing Document 200038912,-572.0,,
110009544,-20.0,E001387,AB
110009545,-20.0,E001387,AB
110009546,-142.0,E001387,AB
110009547,-20.0,E001387,AB
110009548,-20.0,E001387,AB
Clearing Document 200038913,-222.0,,
110009553,-591.77,E001544,AB
110009554,-524.8,E001544,AB
Clearing Document 200038914,-1116.57,,
110009564,-400.0,E001120,AB
Clearing Document 200038920,-400.0,,
110009565,-28.0,E000940,AB
Clearing Document 200039035,-28.0,,
110009566,-1683.69,E001226,AB
Clearing Document 200039037,-1683.69,,
110009567,-1859.04,E001497,AB
Clearing Document 200039038,-1859.04,,
110009559,-85.85,E001501,AB
Clearing Document 200039040,-85.85,,
110009562,-564.03,E001526,AB
Clearing Document 200039041,-564.03,,
110009301,-271.5,E000855,AB
Clearing Document 200039054,-271.5,,
110009300,-399.0,E000804,AB
Clearing Document 200039055,-399.0,,
110009303,-542.3,E001270,AB
Clearing Document 200039056,-542.3,,
110009302,-272.62,E001010,AB
Clearing Document 200039057,-272.62,,
110009299,-277.45,E000299,AB
Clearing Document 200039058,-277.45,,
110009304,-404.5,E000821,AB
Clearing Document 200039059,-404.5,,
110009572,-783.6,E000618,AB
110009573,-189.17,E000618,AB
Clearing Document 200039060,-972.77,,
110009584,-525.28,E000570,AB
Clearing Document 200039061,-525.28,,
110009568,-399.0,E000601,AB
Clearing Document 200039062,-399.0,,
110009569,-399.0,E000173,AB
Clearing Document 200039063,-399.0,,
110009574,-399.0,E000300,AB
Clearing Document 200039064,-399.0,,
110009580,-644.52,E000635,AB
110009581,-295.0,E000635,AB
110009582,-261.0,E000635,AB
110009583,-576.5,E000635,AB
Clearing Document 200039065,-1777.02,,
110009571,-316.5,E000301,AB
Clearing Document 200039066,-316.5,,
110009464,-50.6,E000456,AB
110009465,-50.6,E000456,AB
110009467,-75.86,E000456,AB
110009471,-91.4,E000456,AB
110009473,-50.23,E000456,AB
Clearing Document 200039067,-318.69,,
110009502,-44.16,E001077,AB
Clearing Document 200039082,-44.16,,
110009506,-622.0,E001551,AB
Clearing Document 200039083,-622.0,,
110009511,-632.0,E000933,AB
Clearing Document 200039084,-632.0,,
110009460,-812.9,E000843,AB
Clearing Document 200039085,-812.9,,
110009461,-259.31,E001033,AB
Clearing Document 200039086,-259.31,,
110009586,-44.0,E000122,AB
Clearing Document 200039087,-44.0,,
110009577,-572.0,E000641,AB
Clearing Document 200039088,-572.0,,
110009575,-582.0,E000849,AB
Clearing Document 200039089,-582.0,,
110009589,-429.64,E001104,AB
Clearing Document 200039090,-429.64,,
110009579,-572.0,E001513,AB
Clearing Document 200039091,-572.0,,
110009592,-98.9,E001546,AB
Clearing Document 200039092,-98.9,,
110009609,-660.83,E000716,AB
Clearing Document 200039096,-660.83,,
110009610,-265.6,E000812,AB
Clearing Document 200039097,-265.6,,
110009619,-180.08,E001026,AB
Clearing Document 200039098,-180.08,,
110009614,-202.73,E001507,AB
Clearing Document 200039100,-202.73,,
110009616,-240.0,E001548,AB
Clearing Document 200039102,-240.0,,
110009602,-119.75,E001236,AB
Clearing Document 200039105,-119.75,,
110009588,-76.8,E000093,AB
Clearing Document 200039112,-76.8,,
110009587,-73.0,E000157,AB
Clearing Document 200039113,-73.0,,
110009560,-660.81,E001292,AB
110009561,-633.8,E001292,AB
Clearing Document 200039114,-1294.61,,
110009425,-948.69,E001362,AB
Clearing Document 200039250,-948.69,,
110009505,-186.04,E001054,AB
Clearing Document 200039259,-186.04,,
110009631,-24.0,E001549,AB
Clearing Document 200039282,-24.0,,
110009620,-209.06,E001120,AB
Clearing Document 200039284,-209.06,,
110009629,-184.0,E000162,AB
Clearing Document 200039285,-184.0,,
110009634,-331.5,E000644,AB
Clearing Document 200039286,-331.5,,
110009635,-650.17,E000644,AB
Clearing Document 200039287,-650.17,,
110009732,-200.0,E000338,AB
Clearing Document 200039963,-200.0,,
110009730,-472.0,E000135,AB
110009731,-120.0,E000135,AB
Clearing Document 200040051,-592.0,,
110009671,-627.0,E000951,AB
Clearing Document 200040053,-627.0,,
110009672,-680.48,E001222,AB
Clearing Document 200040054,-680.48,,
110009673,-680.48,E001273,AB
Clearing Document 200040056,-680.48,,
110009656,-595.25,E001519,AB
Clearing Document 200040057,-595.25,,
110009759,-112.2,E001346,AB
Clearing Document 200040131,-112.2,,
110009771,-1350.0,E001353,AB
Clearing Document 200040136,-1350.0,,
110009688,-593.85,E000563,AB
110009689,-968.58,E000563,AB
110009690,-577.68,E000563,AB
110009692,-231.92,E000563,AB
Clearing Document 200040144,-2372.03,,
110009674,-127.5,E000290,AB
110009675,-42.5,E000290,AB
110009676,-103.5,E000290,AB
110009677,-85.0,E000290,AB
Clearing Document 200040145,-358.5,,
110009603,-79.1,E000480,AB
110009604,-40.0,E000480,AB
110009605,-52.64,E000480,AB
110009636,-600.37,E000480,AB
110009637,-760.36,E000480,AB
110009638,-569.68,E000480,AB
110009639,-398.31,E000480,AB
Clearing Document 200040146,-2500.46,,
110009640,-226.03,E000633,AB
Clearing Document 200040147,-226.03,,
110009563,-49.3,E001127,AB
Clearing Document 200040148,-49.3,,
110009399,-196.95,E001283,AB
110009668,-59.75,E001283,AB
110009669,-803.82,E001283,AB
Clearing Document 200040149,-1060.52,,
110009670,-325.66,E001357,AB
Clearing Document 200040150,-325.66,,
110009641,-107.2,E001480,AB
110009642,-223.51,E001480,AB
110009643,-56.95,E001480,AB
Clearing Document 200040151,-387.66,,
110009698,-215.4,E000437,AB
Clearing Document 200040152,-215.4,,
110009695,-366.05,E000659,AB
Clearing Document 200040153,-366.05,,
110009699,-422.55,E000710,AB
110009700,-83.98,E000710,AB
110009701,-275.56,E000710,AB
110009702,-227.4,E000710,AB
110009703,-814.55,E000710,AB
Clearing Document 200040154,-1824.04,,
110009696,-178.8,E000916,AB
Clearing Document 200040155,-178.8,,
110009682,-484.0,E000960,AB
110009683,-229.5,E000960,AB
110009684,-127.5,E000960,AB
110009685,-272.0,E000960,AB
Clearing Document 200040156,-1113.0,,
110009704,-412.0,E001081,AB
Clearing Document 200040157,-412.0,,
110009681,-260.0,E001250,AB
110009693,-561.8,E001250,AB
Clearing Document 200040158,-821.8,,
110009697,-76.3,E001417,AB
Clearing Document 200040159,-76.3,,
110009754,-180.07,E000607,AB
Clearing Document 200040163,-180.07,,
110009755,-222.41,E001024,AB
Clearing Document 200040164,-222.41,,
110009785,-222.41,E000607,AB
Clearing Document 200040173,-222.41,,
110009787,-192.64,E000789,AB
Clearing Document 200040174,-192.64,,
110009788,-243.0,E001538,AB
110009789,-663.96,E001538,AB
Clearing Document 200040176,-906.96,,
110009790,-240.0,E1510,AB
Clearing Document 200040177,-240.0,,
110009773,-69.72,E000617,AB
Clearing Document 200040178,-69.72,,
110009772,-327.0,E000746,AB
Clearing Document 200040179,-327.0,,
110009775,-276.95,E000770,AB
110009776,-155.0,E000770,AB
Clearing Document 200040180,-431.95,,
110009774,-155.0,E001062,AB
Clearing Document 200040182,-155.0,,
110009784,-500.0,E000334,AB
Clearing Document 200040201,-500.0,,
110009781,-200.0,E000430,AB
Clearing Document 200040202,-200.0,,
110009779,-300.0,E000439,AB
Clearing Document 200040203,-300.0,,
110009783,-500.0,E000767,AB
Clearing Document 200040204,-500.0,,
110009782,-250.0,E001107,AB
Clearing Document 200040205,-250.0,,
110009778,-432.0,E001498,AB
Clearing Document 200040206,-432.0,,
110009713,-262.0,E000241,AB
Clearing Document 200040209,-262.0,,
110009647,-336.65,E000298,AB
110009786,-53.55,E000298,AB
Clearing Document 200040210,-390.2,,
110009718,-318.06,E000383,AB
Clearing Document 200040211,-318.06,,
110009728,-78.4,E000481,AB
Clearing Document 200040212,-78.4,,
110009726,-68.6,E000522,AB
Clearing Document 200040213,-68.6,,
110009722,-271.22,E000653,AB
Clearing Document 200040214,-271.22,,
110009714,-262.0,E000777,AB
Clearing Document 200040215,-262.0,,
110009716,-44.12,E000876,AB
110009717,-41.65,E000876,AB
Clearing Document 200040216,-85.77,,
110009727,-57.0,E000889,AB
Clearing Document 200040217,-57.0,,
110009729,-336.37,E001083,AB
Clearing Document 200040218,-336.37,,
110009709,-197.66,E001122,AB
Clearing Document 200040219,-197.66,,
110009721,-266.8,E001124,AB
Clearing Document 200040220,-266.8,,
110009712,-225.48,E001142,AB
Clearing Document 200040221,-225.48,,
110009720,-26.95,E001239,AB
Clearing Document 200040222,-26.95,,
110009723,-35.42,E001365,AB
110009724,-13.0,E001365,AB
110009725,-317.1,E001365,AB
Clearing Document 200040223,-365.52,,
110009756,-896.3,E001461,AB
110009757,-215.0,E001461,AB
Clearing Document 200040224,-1111.3,,
110009705,-340.61,E001506,AB
Clearing Document 200040225,-340.61,,
110009719,-101.0,E001529,AB
Clearing Document 200040226,-101.0,,
110009645,-68.0,E000296,AB
110009646,-260.0,E000296,AB
Clearing Document 200040227,-328.0,,
110009765,-228.48,E000379,AB
Clearing Document 200040228,-228.48,,
110009651,-356.44,E000762,AB
110009715,-660.47,E000762,AB
Clearing Document 200040229,-1016.91,,
110009653,-329.04,E000790,AB
Clearing Document 200040230,-329.04,,
110009763,-260.0,E000841,AB
Clearing Document 200040231,-260.0,,
110009652,-70.55,E000935,AB
Clearing Document 200040232,-70.55,,
110009649,-248.28,E001130,AB
Clearing Document 200040233,-248.28,,
110009764,-56.1,E001264,AB
Clearing Document 200040234,-56.1,,
110009694,-85.8,E001441,AB
Clearing Document 200040235,-85.8,,
110009766,-64.46,E001512,AB
Clearing Document 200040236,-64.46,,
110009780,-238.0,E000916,AB
Clearing Document 200040284,-238.0,,
110009767,-198.95,E000767,AB
Clearing Document 200040316,-198.95,,
110009650,-175.62,E000837,AB
Clearing Document 200040317,-175.62,,
110009791,-1952.0,E000290,AB
Clearing Document 200040324,-1952.0,,
110009796,-552.53,E000710,AB
Clearing Document 200040325,-552.53,,
110009710,-88.59,E000839,AB
110009711,-173.92,E000839,AB
Clearing Document 200040326,-262.51,,
110009795,-2098.37,E000889,AB
Clearing Document 200040327,-2098.37,,
110009644,-198.55,E000988,AB
Clearing Document 200040328,-198.55,,
110009803,-51.0,E000997,AB
110009804,-57.9,E000997,AB
110009805,-80.75,E000997,AB
Clearing Document 200040329,-189.65,,
110009760,-92.63,E001076,AB
Clearing Document 200040330,-92.63,,
110009800,-65.45,E001112,AB
110009801,-58.2,E001112,AB
110009802,-50.9,E001112,AB
Clearing Document 200040331,-174.55,,
110009793,-424.8,E001152,AB
Clearing Document 200040332,-424.8,,
110009794,-1655.94,E001271,AB
